CODDISA;NOMDISA;CODIGO_PRE;ESTABLEC;ALMTIPO_COMPLETO;ESTADO;UE;CODIGO_MED;NOMBRE;TIPO;ESTRATEGIC;FORMA_FARM;INDICADOR;MESANO;STOCK;CONSUMO;CPA;NMESES;DME
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03215;ESCOPOLAMINA N-BUTILBROMURO 10 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;2646;4165;347.083333;12;7.62
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00910;ATROPINA SULFATO 1 mg/mL 1 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;2554;3884;323.666667;12;7.89
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04187;KETAMINA (COMO CLORHIDRATO) 50 mg/mL 10 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;2475;1753;146.083333;12;16.94
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;10221;ALCOHOL ETILICO (ETANOL) 70° 1 L SOLUCION;M;SD;SOLUCION;SOBRESTOCK;202503;2443;206;17.166667;12;142.31
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00725;AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA) 250 mg + 62.5 mg/5 mL 60 mL SUSPENSION;M;SD;SUSPENSION;SOBRESTOCK;202503;2263;1343;111.916667;12;20.22
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00393;ALPRAZOLAM 500 µg (0.5 mg)  TABLETA;M;SC/SD;TABLETA;NORMOSTOCK;202503;2257;6756;563;12;4.01
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03718;GABAPENTINA 300 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;2247;3309;275.75;12;8.15
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02657;DEXAMETASONA 4 mg  TABLETA;M;SD;TABLETA;NORMOSTOCK;202503;2145;4848;404;12;5.31
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01213;BETAMETASONA (COMO FOSFATO SODICO) 4 mg/mL 1 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;2144;2083;173.583333;12;12.35
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00225;ACIDO TRANEXAMICO 250 mg  TABLETA;M;SC/SD;TABLETA;NORMOSTOCK;202503;2135;4808;400.666667;12;5.33
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00673;AMLODIPINO (COMO BESILATO) 5 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;2092;2254;187.833333;12;11.14
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;26361;BROMURO DE VECURONIO 4 mg  INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;1983;665;55.416667;12;35.78
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03191;ERITROMICINA 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;1979;584;48.666667;12;40.66
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00794;AMOXICILINA 250 mg/5 mL 60 mL SUSPENSION;M;SD;SUSPENSION;SOBRESTOCK;202503;1951;1222;101.833333;12;19.16
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02354;CLOTRIMAZOL 500 mg  OVULO;M;SD;OVULO;SOBRESTOCK;202503;1944;2762;230.166667;12;8.45
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01628;CEFALEXINA 250 mg/5 mL 60 mL SUSPENSION;M;SC/SD;SUSPENSION;SOBRESTOCK;202503;1914;1317;109.75;12;17.44
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05588;PREDNISONA 20 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;1886;3091;257.583333;12;7.32
